address,postal_code,country,federal_district,region_type,region,area_type,area,city_type,city,settlement_type,settlement,kladr_id,fias_id,fias_level,capital_marker,okato,oktmo,tax_office,timezone,geo_lat,geo_lon,population,foundation_year
"Ленинградская обл, Гатчинский р-н, г Коммунар",188320,Россия,Северо-Западный,обл,Ленинградская,р-н,Гатчинский,город,Коммунар,,,4700700200000,459dca99-04ff-44fb-af9f-7e2100ec28ac,4,0,41218505000,41618105001,4705,UTC+3,59.6215133,30.3934125,20265,1840
"Ленинградская обл, Всеволожский р-н, г Кудрово",188691,Россия,Северо-Западный,обл,Ленинградская,р-н,Всеволожский,город,Кудрово,,,4700511600000,98cd19c4-e172-4fa3-a81d-7caedeec669b,4,0,41212812002,41612155005,4703,UTC+3,59.9075226,30.5121008,13501,1926
"Ленинградская обл, Всеволожский р-н, г Мурино",188662,Россия,Северо-Западный,обл,Ленинградская,р-н,Всеволожский,город,Мурино,,,4700511700000,d73506c5-015c-4c39-929a-696ea8144e16,4,0,41212000101,41612428101,4703,UTC+3,60.044862,30.4571456,19775,1676
"Ленинградская обл, г Приозерск",188760,Россия,Северо-Западный,обл,Ленинградская,р-н,Приозерский,город,Приозерск,,,4701500100000,59a9c284-72fb-49e6-8380-10ca044d0bd7,4,1,41239501000,41639101001,4712,UTC+3,61.0330896,30.1587851,18929,1199
"Респ Марий Эл, г Волжск",425000,Россия,Приволжский,Респ,Марий Эл,,,город,Волжск,,,1200000200000,f183b079-b65f-4781-9b79-310ba29b724d,4,0,88405000000,88705000,1224,UTC+3,55.8623156,48.3715083,55671,1599
"Респ Мордовия, г Темников",431220,Россия,Приволжский,Респ,Мордовия,р-н,Темниковский,город,Темников,,,1302000100000,7a57dd0c-5b64-480e-8369-3e22261e2bf0,4,1,89249501000,89649101001,1314,UTC+3,54.6310583,43.2161099,7247,1199
"Московская обл, г Дзержинский",140090,Россия,Центральный,обл,Московская,,,город,Дзержинский,,,5000002300000,6fa8b59c-cda7-4c98-8b41-e0bcb2867e16,4,0,46411000000,46711000,5027,UTC+3,55.6240869,37.8440276,47125,1380
"Московская обл, г Котельники",140053,Россия,Центральный,обл,Московская,,,город,Котельники,,,5000003200000,67488a01-ccb7-4638-bcad-117db0fbe9a3,4,0,46444000000,46739000,5027,UTC+3,55.6597925,37.8631156,32347,1699
"Московская обл, Одинцовский р-н, г Кубинка",143070,Россия,Центральный,обл,Московская,р-н,Одинцовский,город,Кубинка,,,5002200400000,50341359-842b-4ba1-b7f2-398a7b72f829,4,0,46241510000,46641110001,5032,UTC+3,55.5754955,36.6951995,22918,1499
"Московская обл, г Солнечногорск",141503,Россия,Центральный,обл,Московская,р-н,Солнечногорский,город,Солнечногорск,,,5003300100000,d4dadcfd-355d-4fe9-963d-48ad122a7778,4,1,46252501000,46652101,5044,UTC+3,56.185102,36.977631,52996,1799
"Московская обл, Ногинский р-н, г Старая Купавна",142450,Россия,Центральный,обл,Московская,р-н,Ногинский,город,Старая Купавна,,,5002100400000,d49d936b-188f-4186-b2db-47e4b36682d6,4,0,46451506000,46751000006,5031,UTC+3,55.8038532,38.1426842,21859,1399
"Московская обл, г Щелково",141100,Россия,Центральный,обл,Московская,р-н,Щелковский,город,Щелково,,,5004000100000,c38a33c1-8f16-4454-bbf4-656d6b8b1739,4,1,46259501000,46659101001,5050,UTC+3,55.9233801,37.9783707,110380,1599
"Мурманская обл, г Кандалакша",184042,Россия,Северо-Западный,обл,Мурманская,р-н,Кандалакшский,город,Кандалакша,,,5100100100000,30fa6bcc-608e-40cb-b22a-b202967ff2a6,4,1,47202501000,47608101,5102,UTC+3,67.1567974,32.4143218,35659,1099
"Нижегородская обл, г Бор",606440,Россия,Приволжский,обл,Нижегородская,,,город,Бор,,,5200000500000,e736e903-6bc3-450b-b8af-7909213dc9ef,4,0,22412000000,22712000,5246,UTC+3,56.3565458,44.0646481,78079,1399
"Нижегородская обл, Павловский р-н, г Ворсма",606120,Россия,Приволжский,обл,Нижегородская,р-н,Павловский,город,Ворсма,,,5203200200000,cd695c84-0b68-4d4c-8068-76e9bba1228a,4,0,22242503000,22642103001,5252,UTC+3,55.989943,43.2718859,11622,1599
"Нижегородская обл, Павловский р-н, г Горбатов",606125,Россия,Приволжский,обл,Нижегородская,р-н,Павловский,город,Горбатов,,,5203200300000,9e79f812-d4b6-48d6-97c3-aa94c102de3e,4,0,22242505000,22642105001,5252,UTC+3,56.1307769,43.0626185,2278,1599
"Нижегородская обл, г Городец",606500,Россия,Приволжский,обл,Нижегородская,р-н,Городецкий,город,Городец,,,5202000100000,a80ea6a8-87f3-4621-89bb-eeb16f56ef94,4,1,22228501000,22628101001,5248,UTC+3,56.6449218,43.4723104,30699,1199
"Нижегородская обл, г Кстово",607650,Россия,Приволжский,обл,Нижегородская,р-н,Кстовский,город,Кстово,,,5202700100000,8d72434a-977f-418b-80e0-f37ff75d52e4,4,1,22237501000,22637101001,5250,UTC+3,56.1432084,44.1664198,66641,1499
"Нижегородская обл, г Кулебаки",607010,Россия,Приволжский,обл,Нижегородская,,,город,Кулебаки,,,5200001000000,a963a64c-29cf-4342-bdc7-d998017aa4cd,4,1,22427000000,22727000,5247,UTC+3,55.4296181,42.5125538,35762,1678
"Нижегородская обл, г Лукоянов",607800,Россия,Приволжский,обл,Нижегородская,р-н,Лукояновский,город,Лукоянов,,,5202900100000,edc07c38-090b-4990-9484-af85752c484f,4,1,22239501000,22639101,5243,UTC+3,55.0326225,44.4933807,14949,1599
"Нижегородская обл, г Первомайск",607751,Россия,Приволжский,обл,Нижегородская,,,город,Первомайск,,,5200000800000,a72a0367-92a4-4ec3-9aa2-2397039a3d70,4,0,22434000000,22734000001,5254,UTC+3,54.8675792,43.8013992,14567,1899
"Нижегородская обл, г Перевоз",607400,Россия,Приволжский,обл,Нижегородская,р-н,Перевозский,город,Перевоз,,,5203400100000,e3ff7ef2-92b6-4ab7-b2ff-4d58cab73dbc,4,1,22435000000,22739000001,5229,UTC+3,55.5967718,44.5448369,9201,1599
"Нижегородская обл, г Чкаловск",606540,Россия,Приволжский,обл,Нижегородская,р-н,Чкаловский,город,Чкаловск,,,5204600100000,46659847-4fed-4981-bdaf-d260874864ee,4,1,22442000000,22755000001,5248,UTC+3,56.7651262,43.242077,12371,1199
"Новгородская обл, г Боровичи",174400,Россия,Северо-Западный,обл,Новгородская,р-н,Боровичский,город,Боровичи,,,5300300100000,ae2f372e-7df2-400c-95f9-4b0522567634,4,1,49408000000,49606101001,5331,UTC+3,58.3840197,33.9175929,54731,1499
"Новгородская обл, г Валдай",175400,Россия,Северо-Западный,обл,Новгородская,р-н,Валдайский,город,Валдай,,,5300400100000,a9075bb6-f2b2-497f-86e1-fe3d9592c075,4,1,49208501000,49608101001,5331,UTC+3,57.9823766,33.2369436,16099,1499
г Великий Новгород,173000,Россия,Северо-Западный,обл,Новгородская,,,город,Великий Новгород,,,5300000100000,8d0a05bf-3b8a-43e9-ac26-7ce61d7c4560,4,2,49401000000,49701000001,5321,UTC+3,58.5213846,31.2755394,218724,800
"Новгородская обл, г Чудово",174210,Россия,Северо-Западный,обл,Новгородская,р-н,Чудовский,город,Чудово,,,5302000100000,a084418b-c41f-4086-9009-0adb7e9117bf,4,1,49250501000,49650101001,5336,UTC+3,59.1248394,31.6866241,16148,1599
"Новосибирская обл, г Каргат",632400,Россия,Сибирский,обл,Новосибирская,р-н,Каргатский,город,Каргат,,,5401000100000,f3a2db25-007e-4830-b460-e763ced3a642,4,1,50219501000,50619101001,5485,UTC+7,55.1945666,80.2829495,10620,1799
"Оренбургская обл, г Кувандык",462240,Россия,Приволжский,обл,Оренбургская,,,город,Кувандык,,,5600000800000,7644221b-0ef9-40c3-8378-cb0e2299747e,4,0,53414000000,53714000001,5607,UTC+5,51.4783857,57.3612636,26176,1899
"Орловская обл, г Малоархангельск",303360,Россия,Центральный,обл,Орловская,р-н,Малоархангельский,город,Малоархангельск,,,5701400100000,2afa3f40-891a-4640-a1cf-af9a5a6d1eb7,4,1,54232501000,54632101001,5743,UTC+3,52.4002192,36.5038579,3872,1699
"Пензенская обл, г Каменка",442240,Россия,Приволжский,обл,Пензенская,р-н,Каменский,город,Каменка,,,5801100100000,e5313349-e01d-47a2-b329-b1629c243520,4,1,56229501000,56629101,5802,UTC+3,53.1855463,44.0469717,39579,1799
"Пензенская обл, г Спасск",442600,Россия,Приволжский,обл,Пензенская,р-н,Спасский,город,Спасск,,,5800300100000,d005a0db-1deb-4728-a800-1e423fa804df,4,1,56206501000,56606101001,5827,UTC+3,53.9271974,43.1859073,7442,1699
"Псковская обл, г Гдов",181600,Россия,Северо-Западный,обл,Псковская,р-н,Гдовский,город,Гдов,,,6000400100000,cdbe4f8f-1a44-4c99-a3c8-06b501a3ad2e,4,1,58208501000,58608101001,6027,UTC+3,58.7432429,27.8264809,4379,1399
"Ростовская обл, г Пролетарск",347540,Россия,Южный,обл,Ростовская,р-н,Пролетарский,город,Пролетарск,,,6103200100000,efa48912-9bcc-42ac-959d-289e9a75b046,4,1,60245501000,60645101001,6186,UTC+3,46.7038963,41.727594,20267,1699
"Рязанская обл, г Спас-Клепики",391030,Россия,Центральный,обл,Рязанская,р-н,Клепиковский,город,Спас-Клепики,,,6200600100000,3d67fdec-69f3-461a-bdbc-7455cb849545,4,1,61210501000,61610101001,6226,UTC+3,55.1291721,40.1745338,5917,1599
"Самарская обл, г Отрадный",446300,Россия,Приволжский,обл,Самарская,,,город,Отрадный,,,6300000500000,05edd5aa-ab64-4afa-b56c-fd5661a14129,4,0,36424000000,36724000001,6372,UTC+4,53.3800848,51.3438605,47709,1920
"Саратовская обл, г Аткарск",412420,Россия,Приволжский,обл,Саратовская,,,город,Аткарск,,,6400000300000,6f9e3e0b-3872-4abf-a2ba-23ae4b196a73,4,0,63204501000,63604101,6438,UTC+4,51.8736062,45.0003247,25620,1799
"Саратовская обл, г Балашов",412300,Россия,Приволжский,обл,Саратовская,,,город,Балашов,,,6400000500000,574ddbe6-5e16-4e5b-9cf5-5f3be3a8a6c9,4,0,63208501000,63608101001,6440,UTC+4,51.5388697,43.1839757,82222,1699
"Сахалинская обл, г Курильск",694530,Россия,Дальневосточный,обл,Сахалинская,р-н,Курильский,город,Курильск,,,6500500100000,1e3fbbb8-0c90-4a49-a012-9d5813f4f032,4,1,64220501000,64720000,6504,UTC+11,45.2270954,147.8796323,2070,1799
"Сахалинская обл, г Углегорск",694920,Россия,Дальневосточный,обл,Сахалинская,р-н,Углегорский,город,Углегорск,,,6501500100000,c3da66fb-eb91-47c6-934c-b98ed003c82e,4,1,64435000000,64752000001,6509,UTC+11,49.0815774,142.0692639,11880,1999
"Респ Татарстан, г Альметьевск",423403,Россия,Приволжский,Респ,Татарстан,р-н,Альметьевский,город,Альметьевск,,,1600800100000,1ca4e6ce-2bc8-40a9-bdf5-113449c3a172,4,1,92405000000,92608101001,1644,UTC+3,54.9014619,52.2970467,146309,1799
"Респ Татарстан, г Арск",422000,Россия,Приволжский,Респ,Татарстан,р-н,Арский,город,Арск,,,1601000100000,d2c6e970-af35-41fe-9ba6-dc44a4187c67,4,1,92212501000,92612151,1685,UTC+3,56.0912567,49.877067,18114,1299
"Респ Татарстан, г Елабуга",423600,Россия,Приволжский,Респ,Татарстан,р-н,Елабужский,город,Елабуга,,,1601900100000,82d4c783-5080-4faa-9cec-ba9152bc9fc8,4,1,92415000000,92626101,1600,UTC+3,55.7567107,52.0543794,70750,1099
"Респ Татарстан, Верхнеуслонский р-н, г Иннополис",420500,Россия,Приволжский,Респ,Татарстан,р-н,Верхнеуслонский,город,Иннополис,,,1601600100000,98da33d3-9455-497a-9703-a0f89c95a901,4,0,92220509000,92620109001,1683,UTC+3,55.7521699,48.7446846,96,2012
"Респ Татарстан, г Кукмор",422110,Россия,Приволжский,Респ,Татарстан,р-н,Кукморский,город,Кукмор,,,1602400200000,840033db-f0cb-4783-b0e0-8c9235d64948,4,1,92233501000,92633101001,1675,UTC+3,56.1861392,50.8970238,17700,1741
"Респ Татарстан, г Чистополь",422951,Россия,Приволжский,Респ,Татарстан,р-н,Чистопольский,город,Чистополь,,,1604300100000,c3c7b150-1b5b-49a6-ace2-a24b403b3b94,4,1,92440000000,92659101,1677,UTC+3,55.3699139,50.6285784,60703,1799
"Тверская обл, г Осташков",172730,Россия,Центральный,обл,Тверская,,,город,Осташков,,,6900000800000,bfe4c46e-0487-48ba-aea3-be0d909fca67,4,1,28440000000,28752000001,6913,UTC+3,57.1456744,33.1115372,18073,1399
"Тверская обл, г Торжок",172000,Россия,Центральный,обл,Тверская,,,город,Торжок,,,6900000200000,4b7047b6-a656-48e7-a247-1433d4a7fb82,4,0,28450000000,28750000,6915,UTC+3,57.04133,34.9602344,47702,900
"Томская обл, г Колпашево",636460,Россия,Сибирский,обл,Томская,р-н,Колпашевский,город,Колпашево,,,7000900100000,c29a885f-a8c8-43b4-aecd-d439d36f5e47,4,1,69232501000,69632101001,7025,UTC+7,58.3114253,82.9025829,24126,1699
"Тульская обл, Киреевский р-н, г Болохово",301280,Россия,Центральный,обл,Тульская,р-н,Киреевский,город,Болохово,,,7101400200000,0e4f8d4e-bc37-4c6e-b46f-a448a0bcb84a,4,0,70228508000,70628108001,7148,UTC+3,54.0820349,37.826724,9619,1599
"Тульская обл, г Кимовск",301720,Россия,Центральный,обл,Тульская,р-н,Кимовский,город,Кимовск,,,7101300100000,1b04dfd7-7752-4c40-ae60-9fae9cb95237,4,1,70226501000,70626101001,7153,UTC+3,53.9698378,38.5380808,28493,1699
"Тульская обл, Киреевский р-н, г Липки",301264,Россия,Центральный,обл,Тульская,р-н,Киреевский,город,Липки,,,7101400300000,ff4e0e65-f17d-4ba6-832d-d1bd12859e00,4,0,70228513000,70628113001,7148,UTC+3,53.9417551,37.7020148,8741,1699
"Ульяновская обл, г Барыш",433750,Россия,Приволжский,обл,Ульяновская,,,город,Барыш,,,7300000300000,52cccd1a-84fd-448a-a91e-36f113b9946f,4,0,73204501000,73604101,7309,UTC+4,53.6533992,47.1181134,17149,1699
"Респ Хакасия, г Сорск",655111,Россия,Сибирский,Респ,Хакасия,,,город,Сорск,,,1900000500000,bf626532-9e6c-4365-801e-c1d297ab40f0,4,0,95409000000,95709000001,1903,UTC+7,54.0002888,90.2594446,12140,1940
"Респ Чеченская, г Аргун",,Россия,Северо-Кавказский,Респ,Чеченская,,,город,Аргун,,,2000000200000,3672454d-2697-4ce1-9666-cc9c744ba5c5,4,0,96402000000,96702000,2034,UTC+3,43.2916774,45.8723105,29528,1799
"Респ Чеченская, г Гудермес",366200,Россия,Северо-Кавказский,Респ,Чеченская,р-н,Гудермесский,город,Гудермес,,,2000500100000,ab370c6d-8fd0-4e6b-9491-d83daaa829c9,4,1,96404000000,96610101001,2032,UTC+3,43.3519142,46.1035645,45643,1899
"Респ Чеченская, г Урус-Мартан",366500,Россия,Северо-Кавказский,Респ,Чеченская,р-н,Урус-Мартановский,,,город,Урус-Мартан,2001000000100,eb208b95-1f50-4290-a9c9-46909aea49a0,6,1,96234501000,96634101001,2033,UTC+3,43.1201923,45.5391777,49071,1799
"Респ Чеченская, г Шали",366300,Россия,Северо-Кавказский,Респ,Чеченская,р-н,Шалинский,город,Шали,,,2001200100000,f206e5a7-d074-44cf-a0f3-a9ca855969d2,4,1,96237501000,96637101001,2000,UTC+3,43.1488691,45.9009629,47715,1384
"Ярославская обл, г Данилов",152070,Россия,Центральный,обл,Ярославская,р-н,Даниловский,город,Данилов,,,7600600100000,28068176-9b2e-4333-a320-9b748b98b9d3,4,1,78215501000,78615101001,7611,UTC+3,58.1860098,40.1795067,15861,1499
"Ярославская обл, г Мышкин",152830,Россия,Центральный,обл,Ярославская,р-н,Мышкинский,город,Мышкин,,,7600800100000,e5b1d3f2-b34d-48f7-8b23-1109114de8aa,4,1,78221501000,78621101,7612,UTC+3,57.7881684,38.4544224,5932,1499
"Ярославская обл, г Тутаев",152300,Россия,Центральный,обл,Ярославская,р-н,Тутаевский,город,Тутаев,,,7601600100000,55aa704c-ff9b-45e6-9493-eb10890e2824,4,1,78417000000,78643101001,7611,UTC+3,57.8674993,39.5369627,41001,1299
